,Participant,Weight,State,Begin,End,Duration,User Agent,psid,pid,psid.1,pid.1,Q1,Q2,Q3,Q4.1,Q4.2,Q4.3,Q4.4,Q4.5,Q4.6,Q6,Q7,Q8,Q9,Q10.1.1,Q10.1.2,Q10.1.3,Q10.1.4,Q10.1.5,Q11.1,Q11.2,Q11.3,Q11.4,Q11.5,Q11.6,Q11.7,Q11.8,Q11.9,Q11.10,Q11.11,Q11.12,Q11.13,Q12.1,Q12.2,Q12.3,Q12.4,Q12.5,Q12.6,Q12.7,Q12.8,Q12.9,Q12.10,Q12.11,Q12.12,Q12.13,Q13.1,Q13.2,Q13.3,Q13.4,Q13.5,Q13.6,Q13.7,Q13.8,Q13.9,Q13.10,Q13.11,Q13.12,Q14,Q16,Q17,Q18,Q19,Q20,Q21.1.1,Q21.1.2,Q21.1.3,Q21.1.4,Q21.1.5,Q21.1.6,Q21.1.7,Q21.2.1,Q21.2.2,Q21.2.3,Q21.2.4,Q21.2.5,Q21.2.6,Q21.2.7,Q21.3.1,Q21.3.2,Q21.3.3,Q21.3.4,Q21.3.5,Q21.3.6,Q21.3.7,Q21.4.1,Q21.4.2,Q21.4.3,Q21.4.4,Q21.4.5,Q21.4.6,Q21.4.7,Q21.5.1,Q21.5.2,Q21.5.3,Q21.5.4,Q21.5.5,Q21.5.6,Q21.5.7,Q22.1.1,Q22.1.2,Q22.1.3,Q22.1.4,Q22.1.5,Q22.1.6,Q22.1.7,Q22.1.8,Q22.1.9,Q22.1.10,Q22.1.11,Q22.1.12,Q22.1.13,Q22.1.14,Q22.2.1,Q22.2.2,Q22.2.3,Q22.2.4,Q22.2.5,Q22.2.6,Q22.2.7,Q22.2.8,Q22.2.9,Q22.2.10,Q22.2.11,Q22.2.12,Q22.2.13,Q22.2.14,Q22.3.1,Q22.3.2,Q22.3.3,Q22.3.4,Q22.3.5,Q22.3.6,Q22.3.7,Q22.3.8,Q22.3.9,Q22.3.10,Q22.3.11,Q22.3.12,Q22.3.13,Q22.3.14,Q22.4.1,Q22.4.2,Q22.4.3,Q22.4.4,Q22.4.5,Q22.4.6,Q22.4.7,Q22.4.8,Q22.4.9,Q22.4.10,Q22.4.11,Q22.4.12,Q22.4.13,Q22.4.14,Q22.5.1,Q22.5.2,Q22.5.3,Q22.5.4,Q22.5.5,Q22.5.6,Q22.5.7,Q22.5.8,Q22.5.9,Q22.5.10,Q22.5.11,Q22.5.12,Q22.5.13,Q22.5.14,Q23.1,Q23.2,Q23.3,Q23.4,Q23.5,Q23.6,Q23.7,Q23.8,Q24,Q25.1,Q25.2,Q25.3,Q25.4,Q25.5,Q25.6,Q25.7,Q25.8,Q26.1,Q26.2,Q26.3,Q26.4,Q26.5,Q26.6,Q26.7,Q26.8,Q27.1,Q27.2,Q27.3,Q27.4,Q27.5,Q27.6,Q28.1,Q28.2,Q28.3,Q28.4,Q28.5,Q29.1,Q29.2,Q29.3,Q31,Q32,Q33,Q34,CV1.1,CV1.2,CV1.3,CV2.1,CV2.2,CV2.3,CV2.4,CV3.1,CV6.1,CV6.2,M1,M7,M9
2,1116,1,FINISHED,10.08.2022 - 16:09,10.08.2022 - 16:18,562,"Mozilla/5.0 (Linux; Android 12; Scepter 8 Tablet Build/SQ1A.220105.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/99.0.4844.88 Safari/537.36",LF3hYlBK8AUHliF6QwLC8g**,244023033.0,,,59,2,26,5,4,4,3,1,3,6,5,4,1,Nike ,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,1.0,0.0,,0.0,0.0,,,,,,,,0,0.0,0.0,,1.0,0.0,,,,,,,,1.0,Stylish and fun to wear,,Very good sneaker and nice to wear,,Reebok is a good sneaker also I like the old school style,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1,1,5,5,4,5,1,5,60.0,,,24.0,21.0,7.0,11.0,,37.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,62.0,,38.0,,,0.0,1.0,0.0,1,2,2,1,0,0,1,0,1,0,0,,1,1,2.0,2,1
5,1122,1,FINISHED,10.08.2022 - 18:43,10.08.2022 - 18:50,409,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6 Safari/605.1.15",LF3hYlBK8AUlOxHJolls7A**,1503355987.0,,,68,2,41,3,1,3,1,1,3,3,1,1,1,Nike,Adidas,Reebok,,,1,1,1,0,1,1,1,0,0,0,0,0,0,0.0,0.0,1.0,,0.0,0.0,1.0,,,,,,0,1.0,0.0,1.0,,0.0,1.0,0.0,,,,,,7.0,I'm not a Phil Knight fan and avoid purchasing Nike products.,Nothing really comes to mind in response to this question.,I've never owned a pair of Adidas shoes or athletic apparel.,I wore Chuck Taylor shoes all through high school.,I've never owned a pair of Reeboks.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,4,5,1,1,1,2,1.0,,,10.0,90.0,,,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,,62.0,38.0,,,,,,3,1,7,4,0,0,1,0,0,1,0,,1,1,1.0,2,1
6,1124,1,FINISHED,10.08.2022 - 18:43,10.08.2022 - 18:58,880,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",LF3hYlBK8AWPNu7COe_43A**,1502486947.0,,,67,1,3,4,4,2,3,5,5,2,2,6,2,adidis,converse,,,,1,1,1,1,1,1,1,0,0,1,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,3.0,nike's shoes has a large arrangement of stylist  variation of selections,New Balance has a large selection of men and women  shoes of may difference in styles ,Adidas shoes have a valuable arrangement  of different types of selection of male and female shoes,Converse is known for there sport type of shoes in male and female and for the whole family,Rebok is know for there magainin cent selection of all different types of shoes,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3,2,4,5,5,5,5,2,1.0,10.0,,56.0,7.0,16.0,7.0,4.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,31.0,27.0,16.0,9.0,17.0,1.0,0.0,0.0,1,1,4,1,0,0,1,0,0,0,1,,1,1,1.0,2,1
7,1125,1,FINISHED,10.08.2022 - 18:44,10.08.2022 - 18:57,809,"Mozilla/5.0 (X11; CrOS x86_64 14816.131.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",LF3hYlBK8AUoumS3lTdZHw**,1476787531.0,,,40,2,39,5,3,3,3,3,2,4,4,3,1,nike,skeeter,converse,addias,,1,1,0,1,1,1,1,0,0,1,0,1,0,1.0,1.0,,1.0,1.0,1.0,1.0,,,0.0,,0.0,0,1.0,0.0,,0.0,0.0,1.0,0.0,,,0.0,,0.0,1.0,very duable but pricey.,,not much different than other brands.,well build sneaker that are good looking.,nice looking but not for me.,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,3,1,1,1,2,30.0,,,61.0,39.0,,,,,,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,,,37.0,63.0,,,,,2,1,3,3,0,1,0,1,0,0,0,,0,1,,2,1
9,1129,1,FINISHED,10.08.2022 - 18:45,10.08.2022 - 18:56,681,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.134 Safari/537.36",LF3hYlBK8AVwG2Z_zg7dfw**,222965060.0,,,19,1,10,5,5,1,2,4,5,6,4,4,2,Nike,Jordan,Addidas,Ugg,Sketchers,1,1,1,1,1,1,1,1,0,0,1,1,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,1.0,1.0,Nike is a footwear manufacturing company and has fitness shoe and gear.,n.a,n.a,"Converse has womens, mens, and kid shoes.",Reeboks is a sporting good company.,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,5,5,3,5,5,5,5,32.0,,6.0,1.0,28.0,52.0,2.0,3.0,8.0,,,,,,,,,1.0,0.0,1.0,1.0,0.0,0.0,91.0,,6.0,3.0,,1.0,1.0,0.0,1,2,2,1,1,0,0,0,0,1,0,,0,1,1.0,2,1
10,1133,1,FINISHED,10.08.2022 - 18:46,10.08.2022 - 18:53,395,"Mozilla/5.0 (iPad; CPU OS 15_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/103.0.5060.63 Mobile/15E148 Safari/604.1",LF3hYlBK8AXwJklcvvnVZA**,1661369262.0,,,53,2,5,5,2,1,4,4,5,4,2,2,2,Sketchers,Nike,Addidas,Vans,,1,1,0,0,1,1,1,1,0,0,0,0,0,1.0,1.0,,,1.0,0.0,1.0,1.0,,,,,0,1.0,1.0,,,0.0,0.0,1.0,0.0,,,,,2.0,A popular and athletic brand that is active in many areas of sport.,,Modern and athletic brand that has a great deal of market share. I like the logo and quality.,An older brand that appeals to the basketball sport area primarily.,A mid range brand that appeals to runners mainly. ,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,4,4,1,1,1,3,60.0,,43.0,22.0,31.0,,,,4.0,,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,,,55.0,45.0,,,,,1,1,6,3,0,1,0,0,0,0,1,,1,1,2.0,2,1
11,1136,1,FINISHED,10.08.2022 - 18:46,10.08.2022 - 18:55,518,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:103.0) Gecko/20100101 Firefox/103.0,LF3hYlBK8AVVcbHZzV5hmw**,232203521.0,,,41,2,10,5,4,4,5,5,5,5,5,4,1,nike,adidas,converse,puma,reebok,1,1,0,1,1,1,0,1,0,0,0,1,0,1.0,1.0,,0.0,1.0,1.0,,1.0,,,,1.0,0,1.0,1.0,,0.0,1.0,1.0,,0.0,,,,0.0,1.0,i really love their shoes.,,adidas is great.,Converses are really good.,i really like their design.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,5,5,4,4,5,5,300.0,8.0,22.0,40.0,9.0,5.0,3.0,3.0,10.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,41.0,9.0,12.0,24.0,14.0,1.0,1.0,0.0,1,1,9,7,0,1,0,0,0,1,0,,1,1,1.0,2,1
17,1168,1,FINISHED,10.08.2022 - 19:25,10.08.2022 - 19:32,424,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",LF3hYlBK8AXVQU6RjQEABA**,1316814567.0,,,51,2,3,5,2,2,4,2,2,4,3,3,2,nike,under armour,skechers,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,"considered the best brand, expensive, lots of variety",i dont like them.  weird looking,"been around a long time, reminds me of Run DMC, more about style and than practical use",iconic brand ,"been around a long time, mediocre, basic",1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,5,5,1,5,1,5,6.0,,,10.0,49.0,,31.0,,10.0,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,,10.0,5.0,55.0,30.0,,,,2,1,6,7,0,1,0,0,0,0,1,,1,1,1.0,2,1
22,1178,1,FINISHED,10.08.2022 - 19:45,10.08.2022 - 19:51,385,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6 Safari/605.1.15",LF3hYlBK8AWVrD2_creSZQ**,244565300.0,,,38,2,21,4,3,5,4,5,4,4,4,2,2,nike,Adidas,puma,,,1,1,1,1,1,1,1,1,0,0,0,1,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,,,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,7.0, very comfortable and quality material is very good, very comfortable and good quality, very comfortable, good quality, good quality,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,1,1,1,5,60.0,,35.0,32.0,21.0,,,,12.0,,,,,,,,,1.0,0.0,0.0,1.0,1.0,0.0,48.0,,,32.0,20.0,0.0,1.0,0.0,2,1,6,6,1,0,0,0,0,1,0,,1,1,1.0,2,1
24,1186,1,FINISHED,10.08.2022 - 20:00,10.08.2022 - 20:09,537,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",LF3hYlBK8AWKVWV4wLdXsg**,239614464.0,,,38,2,10,4,4,4,5,5,5,3,3,4,2,adidas ,nike,puma,jordan ,gucci,1,1,0,1,1,0,1,1,0,0,0,1,0,1.0,1.0,,0.0,1.0,,0.0,0.0,,,,1.0,0,1.0,1.0,,0.0,0.0,,0.0,0.0,,,,1.0,2.0,"the brand is very much unique , stylish  and costly ",,"The brand is very much reliable ,stylish, unique , priceworthy .",,the brand is formal and reliable ,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,5,5,5,5,4,5,4,5,120.0,10.0,17.0,22.0,3.0,3.0,21.0,3.0,21.0,,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,13.0,27.0,28.0,32.0,,1.0,0.0,0.0,1,1,7,6,1,0,0,0,0,1,0,,1,1,1.0,2,1
25,1189,1,FINISHED,10.08.2022 - 20:19,10.08.2022 - 20:32,763,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:103.0) Gecko/20100101 Firefox/103.0,LF3hYlBK8AVmDefesKeR7w**,182875202.0,,,39,1,5,5,4,3,2,5,4,5,1,3,1,Nike,Tiger Onitsuka,Adidas,New Balance,Puma,1,1,1,0,1,1,0,1,1,0,0,1,0,1.0,0.0,1.0,,1.0,1.0,,1.0,0.0,,,1.0,0,1.0,1.0,0.0,,0.0,1.0,,0.0,0.0,,,1.0,1.0,Very comfortable neutral sports and active lifestyles shoes.,"Comfortable neutral active shoes that would, I guess, be good for sport.","Sporty and fashionable sneakers, good for active/sports lifestyle.",Non traditional sneakers that make more of a statement of who a person is than necessarily being good for sport or activity. Colorful fashion/personal statement. ,"A more sports oriented sneaker, would be okay for active lifestyle as well.",1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1,1,5,1,2,5,4,60.0,,,,40.0,,,40.0,20.0,,,,,,,,,1.0,1.0,0.0,1.0,0.0,0.0,15.0,15.0,,70.0,,0.0,0.0,1.0,2,1,3,4,0,1,0,0,0,0,1,,1,1,1.0,2,1
28,1197,1,FINISHED,10.08.2022 - 20:59,10.08.2022 - 21:13,811,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",LF3hYlBK8AVcX0rouBxW0w**,238255019.0,,,39,2,34,4,4,4,4,4,4,3,3,4,1,Adidas,Vans,Puma,,,0,1,0,0,0,0,0,0,0,0,0,1,0,,1.0,,,,,,,,,,0.0,0,,1.0,,,,,,,,,,0.0,2.0,,,Shop The Latest Styles At adidas Online,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,5,4,4,2,5,120.0,5.0,5.0,30.0,20.0,5.0,5.0,,30.0,,,,,,,,,1.0,0.0,0.0,1.0,1.0,0.0,40.0,,,30.0,30.0,1.0,1.0,0.0,1,1,7,6,0,1,0,0,0,1,0,,1,1,1.0,2,1
35,1212,1,FINISHED,10.08.2022 - 22:03,10.08.2022 - 22:10,427,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6 Safari/605.1.15",LF3hYlBK8AVeXB1UGkjt_g**,1465049226.0,,,50,2,19,5,4,1,2,2,1,6,4,3,1,Nike,New balance ,Skechers ,Rebok ,,1,1,1,1,1,1,1,1,0,1,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,Very quality comfortable brand that I love wearing ,Very comfortable goid fitting shoe I can wear all day long ,It’s a reliable comfortable long lasting shoe ,Very quality reliable well made shoe,Very quality reliable comfortable long lasting shoe,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,3,5,5,1,3,1,5,90.0,,17.0,38.0,19.0,,4.0,,22.0,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,,100.0,,,,,,,2,1,2,1,0,1,0,0,0,1,0,,1,1,1.0,2,1
38,1223,1,FINISHED,10.08.2022 - 23:35,10.08.2022 - 23:46,628,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:103.0) Gecko/20100101 Firefox/103.0,LF3hYlBK8AVGIQ-UDL6rMA**,190273501.0,,,64,2,5,5,3,5,3,2,4,6,4,4,1,adidas,nike,sperry,under armour,reebok,1,1,1,1,1,1,1,1,1,1,1,1,0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,very comfortable and very good looking sneakers that are very light on the feet,very comfortable and stylish sneakers; some in a very classic design,"very stylish, very good looking comfortable sneakers that have some of my favorite styles","stylish, young, cool, looking sneakers ",old fashioned basic sneakers,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,4,5,5,1,4,4,5,30.0,,10.0,50.0,13.0,,4.0,12.0,11.0,,,,,,,,,1.0,0.0,1.0,1.0,0.0,0.0,26.0,,38.0,36.0,,0.0,0.0,1.0,1,1,3,7,0,0,1,0,0,0,1,,1,1,1.0,2,1
